VTX, IDX, _sig58._child0.x, _sig58._child0.y, _sig58._child0.z, _sig58._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w, _output3.x, _output3.y
0, 25124, -9.49118,  118.65959, -174.52663,  194.52663, -9.49118, -118.65959,  10.00,  194.52663, -9.57836, -118.94421,  10.00,  194.52567,  0.98535,  0.07104
1, 25125, -9.77477,  115.50431, -174.668,  194.668, -9.77477, -115.50431,  10.00,  194.668, -9.86149, -115.78983,  10.00,  194.66751,  0.98242,  0.01489
2, 25126, -12.08141,  115.29487, -174.14423,  194.14423, -12.08141, -115.29487,  10.00,  194.14423, -12.16901, -115.57983,  10.00,  194.14453,  0.8252,  0.01219
3, 25126, -12.08141,  115.29487, -174.14423,  194.14423, -12.08141, -115.29487,  10.00,  194.14423, -12.16901, -115.57983,  10.00,  194.14453,  0.8252,  0.01219
4, 25127, -11.93567,  117.08476, -174.02608,  194.02608, -11.93567, -117.08476,  10.00,  194.02608, -12.02356, -117.36893,  10.00,  194.02617,  0.82373,  0.04416
5, 25124, -9.49118,  118.65959, -174.52663,  194.52663, -9.49118, -118.65959,  10.00,  194.52663, -9.57836, -118.94421,  10.00,  194.52567,  0.98535,  0.07104
6, 25128, -7.79684,  138.35213, -173.63759,  193.63759, -7.79684, -138.35213,  10.00,  193.63759, -7.88548, -138.63322,  10.00,  193.63397,  0.99121,  0.36694
7, 25129, -8.53248,  129.548, -174.00003,  194.00003, -8.53248, -129.548,  10.00,  194.00003, -8.62095, -129.83026,  10.00,  193.99759,  0.99072,  0.24207
8, 25130, -10.96564,  129.36481, -173.34224,  193.34224, -10.96564, -129.36481,  10.00,  193.34224, -11.05501, -129.64557,  10.00,  193.3407,  0.81885,  0.2373
9, 25130, -10.96564,  129.36481, -173.34224,  193.34224, -10.96564, -129.36481,  10.00,  193.34224, -11.05501, -129.64557,  10.00,  193.3407,  0.81885,  0.2373
10, 25131, -10.0387,  138.15611, -172.9545,  192.9545, -10.0387, -138.15611,  10.00,  192.9545, -10.12824, -138.43555,  10.00,  192.95171,  0.82813,  0.36133
11, 25128, -7.79684,  138.35213, -173.63759,  193.63759, -7.79684, -138.35213,  10.00,  193.63759, -7.88548, -138.63322,  10.00,  193.63397,  0.99121,  0.36694
12, 25131, -10.0387,  138.15611, -172.9545,  192.9545, -10.0387, -138.15611,  10.00,  192.9545, -10.12824, -138.43555,  10.00,  192.95171,  0.82813,  0.36133
13, 25130, -10.96564,  129.36481, -173.34224,  193.34224, -10.96564, -129.36481,  10.00,  193.34224, -11.05501, -129.64557,  10.00,  193.3407,  0.81885,  0.2373
14, 25132, -17.97944,  130.02733, -173.02724,  193.02724, -17.97944, -130.02733,  10.00,  193.02724, -18.06929, -130.30804,  10.00,  193.02824,  0.39575,  0.22595
15, 25133, -7.0718,  147.26517, -173.38232,  193.38232, -7.0718, -147.26517,  10.00,  193.38232, -7.16024, -147.54539,  10.00,  193.37753,  0.98926,  0.49097
16, 25134, -7.79684,  138.35213, -173.63759,  193.63759, -7.79684, -138.35213,  10.00,  193.63759, -7.88548, -138.63322,  10.00,  193.63397,  0.99121,  0.36694
17, 25131, -10.0387,  138.15611, -172.9545,  192.9545, -10.0387, -138.15611,  10.00,  192.9545, -10.12824, -138.43555,  10.00,  192.95171,  0.82813,  0.36133
18, 25131, -10.0387,  138.15611, -172.9545,  192.9545, -10.0387, -138.15611,  10.00,  192.9545, -10.12824, -138.43555,  10.00,  192.95171,  0.82813,  0.36133
19, 25135, -9.20091,  147.11612, -172.67339,  192.67339, -9.20091, -147.11612,  10.00,  192.67339, -9.29026, -147.39458,  10.00,  192.66939,  0.83008,  0.4856
20, 25133, -7.0718,  147.26517, -173.38232,  193.38232, -7.0718, -147.26517,  10.00,  193.38232, -7.16024, -147.54539,  10.00,  193.37753,  0.98926,  0.49097
21, 25132, -17.97944,  130.02733, -173.02724,  193.02724, -17.97944, -130.02733,  10.00,  193.02724, -18.06929, -130.30804,  10.00,  193.02824,  0.39575,  0.22595
22, 25136, -23.72883,  131.9066, -174.45805,  194.45805, -23.72883, -131.9066,  10.00,  194.45805, -23.81671, -132.19229,  10.00,  194.461,  0.00064,  0.21558
23, 25137, -23.1833,  141.26103, -173.95135,  193.95135, -23.1833, -141.26103,  10.00,  193.95135, -23.2714, -141.54515,  10.00,  193.95311, -0.01096,  0.34546
24, 25132, -17.97944,  130.02733, -173.02724,  193.02724, -17.97944, -130.02733,  10.00,  193.02724, -18.06929, -130.30804,  10.00,  193.02824,  0.39575,  0.22595
25, 25138, -17.05678,  139.00754, -172.50092,  192.50092, -17.05678, -139.00754,  10.00,  192.50092, -17.14688, -139.28658,  10.00,  192.50064,  0.40503,  0.35132
26, 25131, -10.0387,  138.15611, -172.9545,  192.9545, -10.0387, -138.15611,  10.00,  192.9545, -10.12824, -138.43555,  10.00,  192.95171,  0.82813,  0.36133
27, 25137, -23.1833,  141.26103, -173.95135,  193.95135, -23.1833, -141.26103,  10.00,  193.95135, -23.2714, -141.54515,  10.00,  193.95311, -0.01096,  0.34546
28, 25138, -17.05678,  139.00754, -172.50092,  192.50092, -17.05678, -139.00754,  10.00,  192.50092, -17.14688, -139.28658,  10.00,  192.50064,  0.40503,  0.35132
29, 25132, -17.97944,  130.02733, -173.02724,  193.02724, -17.97944, -130.02733,  10.00,  193.02724, -18.06929, -130.30804,  10.00,  193.02824,  0.39575,  0.22595
30, 25135, -9.20091,  147.11612, -172.67339,  192.67339, -9.20091, -147.11612,  10.00,  192.67339, -9.29026, -147.39458,  10.00,  192.66939,  0.83008,  0.4856
31, 25131, -10.0387,  138.15611, -172.9545,  192.9545, -10.0387, -138.15611,  10.00,  192.9545, -10.12824, -138.43555,  10.00,  192.95171,  0.82813,  0.36133
32, 25138, -17.05678,  139.00754, -172.50092,  192.50092, -17.05678, -139.00754,  10.00,  192.50092, -17.14688, -139.28658,  10.00,  192.50064,  0.40503,  0.35132
33, 25138, -17.05678,  139.00754, -172.50092,  192.50092, -17.05678, -139.00754,  10.00,  192.50092, -17.14688, -139.28658,  10.00,  192.50064,  0.40503,  0.35132
34, 25137, -23.1833,  141.26103, -173.95135,  193.95135, -23.1833, -141.26103,  10.00,  193.95135, -23.2714, -141.54515,  10.00,  193.95311, -0.01096,  0.34546
35, 25139, -22.29947,  150.61316, -173.46132,  193.46132, -22.29947, -150.61316,  10.00,  193.46132, -22.38765, -150.89566,  10.00,  193.46172, -0.00739,  0.47583
36, 25140, -6.03797,  159.13359, -172.98572,  192.98572, -6.03797, -159.13359,  10.00,  192.98572, -6.12612, -159.41252,  10.00,  192.9794,  0.98438,  0.65771
37, 25141, -7.0718,  147.26517, -173.38232,  193.38232, -7.0718, -147.26517,  10.00,  193.38232, -7.16024, -147.54539,  10.00,  193.37753,  0.98926,  0.49097
38, 25135, -9.20091,  147.11612, -172.67339,  192.67339, -9.20091, -147.11612,  10.00,  192.67339, -9.29026, -147.39458,  10.00,  192.66939,  0.83008,  0.4856
39, 25135, -9.20091,  147.11612, -172.67339,  192.67339, -9.20091, -147.11612,  10.00,  192.67339, -9.29026, -147.39458,  10.00,  192.66939,  0.83008,  0.4856
40, 25142, -8.08999,  158.98918, -172.30229,  192.30229, -8.08999, -158.98918,  10.00,  192.30229, -8.17899, -159.26637,  10.00,  192.29672,  0.82373,  0.65039
41, 25140, -6.03797,  159.13359, -172.98572,  192.98572, -6.03797, -159.13359,  10.00,  192.98572, -6.12612, -159.41252,  10.00,  192.9794,  0.98438,  0.65771
42, 25138, -17.05678,  139.00754, -172.50092,  192.50092, -17.05678, -139.00754,  10.00,  192.50092, -17.14688, -139.28658,  10.00,  192.50064,  0.40503,  0.35132
43, 25143, -16.1392,  148.15881, -172.11842,  192.11842, -16.1392, -148.15881,  10.00,  192.11842, -16.22921, -148.43663,  10.00,  192.11684,  0.40674,  0.47705
44, 25135, -9.20091,  147.11612, -172.67339,  192.67339, -9.20091, -147.11612,  10.00,  192.67339, -9.29026, -147.39458,  10.00,  192.66939,  0.83008,  0.4856
45, 25139, -22.29947,  150.61316, -173.46132,  193.46132, -22.29947, -150.61316,  10.00,  193.46132, -22.38765, -150.89566,  10.00,  193.46172, -0.00739,  0.47583
