VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
0, 0,  6.45443, -106.7411, -176.04391,  196.04391,  6.45443,  106.7411,  10.00,  196.04391,  6.34764,  106.45432,  10.00,  196.01163
1, 1,  7.25196, -104.39481, -176.14948,  196.14948,  7.25196,  104.39481,  10.00,  196.14948,  7.14515,  104.10797,  10.00,  196.11725
2, 2,  6.93488, -106.33818, -175.78918,  195.78918,  6.93488,  106.33818,  10.00,  195.78918,  6.82784,  106.05128,  10.00,  195.75682
3, 3,  10.68774, -104.79874, -183.41946,  203.41946,  10.68774,  104.79874,  10.00,  203.41946,  10.58755,  104.51424,  10.00,  203.38623
4, 4,  11.17855, -104.56862, -182.08054,  202.08054,  11.17855,  104.56862,  10.00,  202.08054,  11.07713,  104.2835,  10.00,  202.0472
5, 5,  11.02036, -109.56106, -182.56622,  202.56622,  11.02036,  109.56106,  10.00,  202.56622,  10.91966,  109.27613,  10.00,  202.53232
6, 6,  11.18018, -105.53278, -181.30305,  201.30305,  11.18018,  105.53278,  10.00,  201.30305,  11.07811,  105.2473,  10.00,  201.26958
7, 7,  11.17261, -105.78293, -181.72742,  201.72742,  11.17261,  105.78293,  10.00,  201.72742,  11.07094,  105.49761,  10.00,  201.69392
8, 8,  11.4946, -109.13672, -181.38017,  201.38017,  11.4946,  109.13672,  10.00,  201.38017,  11.39279,  108.85126,  10.00,  201.34618
9, 9, -19.82139, -100.04488, -182.35835,  202.35835, -19.82139,  100.04488,  10.00,  202.35835, -19.91245,  99.76567,  10.00,  202.33849
10, 10, -19.72309, -100.1296, -182.22816,  202.22816, -19.72309,  100.1296,  10.00,  202.22816, -19.81428,  99.8501,  10.00,  202.20822
11, 11, -20.3381, -95.19266, -182.21228,  202.21228, -20.3381,  95.19266,  10.00,  202.21228, -20.42441,  94.91216,  10.00,  202.19511
12, 12,  10.68774, -104.79874, -183.41946,  203.41946,  10.68774,  104.79874,  10.00,  203.41946,  10.58755,  104.51424,  10.00,  203.38623
13, 13,  10.99478, -108.27579, -183.88907,  203.88907,  10.99478,  108.27579,  10.00,  203.88907,  10.8952,  107.99142,  10.00,  203.85533
14, 14,  10.47103, -105.29958, -183.76234,  203.76234,  10.47103,  105.29958,  10.00,  203.76234,  10.37118,  105.0152,  10.00,  203.7291
15, 12,  10.68774, -104.79874, -183.41946,  203.41946,  10.68774,  104.79874,  10.00,  203.41946,  10.58755,  104.51424,  10.00,  203.38623
16, 15,  11.02036, -109.56106, -182.56622,  202.56622,  11.02036,  109.56106,  10.00,  202.56622,  10.91966,  109.27613,  10.00,  202.53232
17, 13,  10.99478, -108.27579, -183.88907,  203.88907,  10.99478,  108.27579,  10.00,  203.88907,  10.8952,  107.99142,  10.00,  203.85533
