VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w, _output3.x, _output3.y
35, 5555, -1.41957, -86.07843, -176.38776,  196.38776, -1.41957,  86.07843,  10.00,  196.38776, -1.52713,  85.79317,  10.00,  196.36024,  0.02661,  0.26343
36, 5553, -1.40737, -86.20931, -176.43109,  196.43109, -1.40737,  86.20931,  10.00,  196.43109, -1.51489,  85.92406,  10.00,  196.40356,  0.02838,  0.26563
37, 5556, -1.39076, -86.73142, -176.35847,  196.35847, -1.39076,  86.73142,  10.00,  196.35847, -1.49831,  86.44607,  10.00,  196.33089,  0.03564,  0.26147
38, 5554, -1.38676, -86.69006, -176.26474,  196.26474, -1.38676,  86.69006,  10.00,  196.26474, -1.4944,  86.40472,  10.00,  196.23714,  0.03442,  0.25732
39, 5557, -1.39345, -86.80058, -176.31839,  196.31839, -1.39345,  86.80058,  10.00,  196.31839, -1.50104,  86.51527,  10.00,  196.29079,  0.03561,  0.25928
40, 5556, -1.39076, -86.73142, -176.35847,  196.35847, -1.39076,  86.73142,  10.00,  196.35847, -1.49831,  86.44607,  10.00,  196.33089,  0.03564,  0.26147
41, 5558, -1.40837, -87.07014, -176.44077,  196.44077, -1.40837,  87.07014,  10.00,  196.44077, -1.51583,  86.78489,  10.00,  196.41312,  0.03955,  0.26538
42, 5559, -1.38676, -86.69006, -176.26474,  196.26474, -1.38676,  86.69006,  10.00,  196.26474, -1.4944,  86.40472,  10.00,  196.23714,  0.03442,  0.25732
43, 5556, -1.39076, -86.73142, -176.35847,  196.35847, -1.39076,  86.73142,  10.00,  196.35847, -1.49831,  86.44607,  10.00,  196.33089,  0.03564,  0.26147
44, 5557, -1.39345, -86.80058, -176.31839,  196.31839, -1.39345,  86.80058,  10.00,  196.31839, -1.50104,  86.51527,  10.00,  196.29079,  0.03561,  0.25928
45, 5560, -1.44064, -86.21148, -176.4299,  196.4299, -1.44064,  86.21148,  10.00,  196.4299, -1.54817,  85.92616,  10.00,  196.40237,  0.02838,  0.26563
46, 5561, -1.41957, -86.07843, -176.38776,  196.38776, -1.41957,  86.07843,  10.00,  196.38776, -1.52713,  85.79317,  10.00,  196.36024,  0.02661,  0.26343
47, 5562, -1.38676, -86.69006, -176.26474,  196.26474, -1.38676,  86.69006,  10.00,  196.26474, -1.4944,  86.40472,  10.00,  196.23714,  0.03442,  0.25732
48, 5560, -1.44064, -86.21148, -176.4299,  196.4299, -1.44064,  86.21148,  10.00,  196.4299, -1.54817,  85.92616,  10.00,  196.40237,  0.02838,  0.26563
49, 5562, -1.38676, -86.69006, -176.26474,  196.26474, -1.38676,  86.69006,  10.00,  196.26474, -1.4944,  86.40472,  10.00,  196.23714,  0.03442,  0.25732
50, 5563, -1.41212, -86.7328, -176.35773,  196.35773, -1.41212,  86.7328,  10.00,  196.35773, -1.51967,  86.44745,  10.00,  196.33014,  0.03564,  0.26147
51, 5563, -1.41212, -86.7328, -176.35773,  196.35773, -1.41212,  86.7328,  10.00,  196.35773, -1.51967,  86.44745,  10.00,  196.33014,  0.03564,  0.26147
52, 5564, -1.39345, -86.80058, -176.31839,  196.31839, -1.39345,  86.80058,  10.00,  196.31839, -1.50104,  86.51527,  10.00,  196.29079,  0.03561,  0.25928
53, 5565, -1.40837, -87.07014, -176.44077,  196.44077, -1.40837,  87.07014,  10.00,  196.44077, -1.51583,  86.78489,  10.00,  196.41312,  0.03955,  0.26538
54, 5566, -1.38676, -86.69006, -176.26474,  196.26474, -1.38676,  86.69006,  10.00,  196.26474, -1.4944,  86.40472,  10.00,  196.23714,  0.03442,  0.25732
55, 5564, -1.39345, -86.80058, -176.31839,  196.31839, -1.39345,  86.80058,  10.00,  196.31839, -1.50104,  86.51527,  10.00,  196.29079,  0.03561,  0.25928
56, 5563, -1.41212, -86.7328, -176.35773,  196.35773, -1.41212,  86.7328,  10.00,  196.35773, -1.51967,  86.44745,  10.00,  196.33014,  0.03564,  0.26147
57, 5567, -12.19373, -100.40145, -178.84032,  198.84032, -12.19373,  100.40145,  10.00,  198.84032, -12.29831,  100.11889,  10.00,  198.81409,  0.0265,  0.396
58, 5568, -12.06546, -98.71648, -179.19276,  199.19276, -12.06546,  98.71648,  10.00,  199.19276, -12.1698,  98.43413,  10.00,  199.1667,  0.01395,  0.38159
59, 5569, -11.88672, -100.99599, -178.98833,  198.98833, -11.88672,  100.99599,  10.00,  198.98833, -11.99113,  100.71352,  10.00,  198.96193,  0.02562,  0.38062
60, 5567, -12.19373, -100.40145, -178.84032,  198.84032, -12.19373,  100.40145,  10.00,  198.84032, -12.29831,  100.11889,  10.00,  198.81409,  0.0265,  0.396
61, 5570, -12.30737, -98.50414, -179.0175,  199.0175, -12.30737,  98.50414,  10.00,  199.0175, -12.41189,  98.22177,  10.00,  198.99155,  0.02184,  0.39624
62, 5568, -12.06546, -98.71648, -179.19276,  199.19276, -12.06546,  98.71648,  10.00,  199.19276, -12.1698,  98.43413,  10.00,  199.1667,  0.01395,  0.38159
63, 5571,  8.65216, -97.39549, -179.94116,  199.94116,  8.65216,  97.39549,  10.00,  199.94116,  8.54842,  97.10992,  10.00,  199.90942,  0.97559,  0.396
64, 5572,  8.96249, -99.05249, -179.60458,  199.60458,  8.96249,  99.05249,  10.00,  199.60458,  8.85853,  98.76674,  10.00,  199.57254,  0.98193,  0.38062
65, 5573,  8.63483, -99.68746, -179.72966,  199.72966,  8.63483,  99.68746,  10.00,  199.72966,  8.53102,  99.40185,  10.00,  199.69763,  0.97412,  0.38062
66, 5571,  8.65216, -97.39549, -179.94116,  199.94116,  8.65216,  97.39549,  10.00,  199.94116,  8.54842,  97.10992,  10.00,  199.90942,  0.97559,  0.396
67, 5574,  8.94271, -97.17872, -179.76976,  199.76976,  8.94271,  97.17872,  10.00,  199.76976,  8.83881,  96.893,  10.00,  199.73796,  0.97803,  0.39624
68, 5572,  8.96249, -99.05249, -179.60458,  199.60458,  8.96249,  99.05249,  10.00,  199.60458,  8.85853,  98.76674,  10.00,  199.57254,  0.98193,  0.38062
69, 5575, -4.34845, -82.45358, -180.06795,  200.06795, -4.34845,  82.45358,  10.00,  200.06795, -4.45287,  82.17023,  10.00,  200.04173,  0.37207,  0.95361
70, 5576, -4.51212, -80.74636, -180.21277,  200.21277, -4.51212,  80.74636,  10.00,  200.21277, -4.61649,  80.46314,  10.00,  200.18678,  0.37207,  0.9292
71, 5577, -4.41038, -80.34284, -179.95293,  199.95293, -4.41038,  80.34284,  10.00,  199.95293, -4.51501,  80.05947,  10.00,  199.92696,  0.40381,  0.9292
72, 5575, -4.34845, -82.45358, -180.06795,  200.06795, -4.34845,  82.45358,  10.00,  200.06795, -4.45287,  82.17023,  10.00,  200.04173,  0.37207,  0.95361
73, 5577, -4.41038, -80.34284, -179.95293,  199.95293, -4.41038,  80.34284,  10.00,  199.95293, -4.51501,  80.05947,  10.00,  199.92696,  0.40381,  0.9292
74, 5578, -4.30084, -82.07515, -179.80931,  199.80931, -4.30084,  82.07515,  10.00,  199.80931, -4.40551,  81.79167,  10.00,  199.78311,  0.40381,  0.95361
75, 5579, -4.21455, -79.91204, -179.66527,  199.66527, -4.21455,  79.91204,  10.00,  199.66527, -4.31946,  79.62852,  10.00,  199.63928,  0.43091,  0.9292
76, 5578, -4.30084, -82.07515, -179.80931,  199.80931, -4.30084,  82.07515,  10.00,  199.80931, -4.40551,  81.79167,  10.00,  199.78311,  0.40381,  0.95361
77, 5577, -4.41038, -80.34284, -179.95293,  199.95293, -4.41038,  80.34284,  10.00,  199.95293, -4.51501,  80.05947,  10.00,  199.92696,  0.40381,  0.9292
78, 5579, -4.21455, -79.91204, -179.66527,  199.66527, -4.21455,  79.91204,  10.00,  199.66527, -4.31946,  79.62852,  10.00,  199.63928,  0.43091,  0.9292
79, 5580, -4.15469, -81.6596, -179.5201,  199.5201, -4.15469,  81.6596,  10.00,  199.5201, -4.25965,  81.37604,  10.00,  199.4939,  0.43091,  0.95361
80, 5578, -4.30084, -82.07515, -179.80931,  199.80931, -4.30084,  82.07515,  10.00,  199.80931, -4.40551,  81.79167,  10.00,  199.78311,  0.40381,  0.95361
81, 5581, -3.87888, -79.49345, -179.3829,  199.3829, -3.87888,  79.49345,  10.00,  199.3829, -3.98407,  79.20975,  10.00,  199.3569,  0.448,  0.9292
82, 5580, -4.15469, -81.6596, -179.5201,  199.5201, -4.15469,  81.6596,  10.00,  199.5201, -4.25965,  81.37604,  10.00,  199.4939,  0.43091,  0.95361
83, 5579, -4.21455, -79.91204, -179.66527,  199.66527, -4.21455,  79.91204,  10.00,  199.66527, -4.31946,  79.62852,  10.00,  199.63928,  0.43091,  0.9292
84, 5581, -3.87888, -79.49345, -179.3829,  199.3829, -3.87888,  79.49345,  10.00,  199.3829, -3.98407,  79.20975,  10.00,  199.3569,  0.448,  0.9292
85, 5582, -3.82194, -81.23734, -179.23758,  199.23758, -3.82194,  81.23734,  10.00,  199.23758, -3.92718,  80.95358,  10.00,  199.21136,  0.448,  0.95361
86, 5580, -4.15469, -81.6596, -179.5201,  199.5201, -4.15469,  81.6596,  10.00,  199.5201, -4.25965,  81.37604,  10.00,  199.4939,  0.43091,  0.95361
87, 5583, -3.4259, -79.1972, -179.20279,  199.20279, -3.4259,  79.1972,  10.00,  199.20279, -3.53127,  78.91337,  10.00,  199.1767,  0.46167,  0.9292
88, 5582, -3.82194, -81.23734, -179.23758,  199.23758, -3.82194,  81.23734,  10.00,  199.23758, -3.92718,  80.95358,  10.00,  199.21136,  0.448,  0.95361
89, 5581, -3.87888, -79.49345, -179.3829,  199.3829, -3.87888,  79.49345,  10.00,  199.3829, -3.98407,  79.20975,  10.00,  199.3569,  0.448,  0.9292
90, 5583, -3.4259, -79.1972, -179.20279,  199.20279, -3.4259,  79.1972,  10.00,  199.20279, -3.53127,  78.91337,  10.00,  199.1767,  0.46167,  0.9292
91, 5584, -3.36664, -80.93739, -179.05496,  199.05496, -3.36664,  80.93739,  10.00,  199.05496, -3.47205,  80.6535,  10.00,  199.02864,  0.46167,  0.95361
92, 5582, -3.82194, -81.23734, -179.23758,  199.23758, -3.82194,  81.23734,  10.00,  199.23758, -3.92718,  80.95358,  10.00,  199.21136,  0.448,  0.95361
93, 5585, -2.94252, -79.03259, -179.12166,  199.12166, -2.94252,  79.03259,  10.00,  199.12166, -3.04797,  78.74865,  10.00,  199.09544,  0.47412,  0.9292
94, 5584, -3.36664, -80.93739, -179.05496,  199.05496, -3.36664,  80.93739,  10.00,  199.05496, -3.47205,  80.6535,  10.00,  199.02864,  0.46167,  0.95361
95, 5583, -3.4259, -79.1972, -179.20279,  199.20279, -3.4259,  79.1972,  10.00,  199.20279, -3.53127,  78.91337,  10.00,  199.1767,  0.46167,  0.9292
96, 5585, -2.94252, -79.03259, -179.12166,  199.12166, -2.94252,  79.03259,  10.00,  199.12166, -3.04797,  78.74865,  10.00,  199.09544,  0.47412,  0.9292
97, 5586, -2.88269, -80.77133, -178.97299,  198.97299, -2.88269,  80.77133,  10.00,  198.97299, -2.98819,  80.48728,  10.00,  198.94653,  0.47412,  0.95361
98, 5584, -3.36664, -80.93739, -179.05496,  199.05496, -3.36664,  80.93739,  10.00,  199.05496, -3.47205,  80.6535,  10.00,  199.02864,  0.46167,  0.95361
99, 5587, -2.41606, -78.89612, -179.06511,  199.06511, -2.41606,  78.89612,  10.00,  199.06511, -2.52157,  78.61204,  10.00,  199.03876,  0.48804,  0.9292
100, 5586, -2.88269, -80.77133, -178.97299,  198.97299, -2.88269,  80.77133,  10.00,  198.97299, -2.98819,  80.48728,  10.00,  198.94653,  0.47412,  0.95361
101, 5585, -2.94252, -79.03259, -179.12166,  199.12166, -2.94252,  79.03259,  10.00,  199.12166, -3.04797,  78.74865,  10.00,  199.09544,  0.47412,  0.9292
