VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
40, 2405, -13.37119, -98.17531, -183.67805,  203.67805, -13.37119,  98.17531,  10.00,  203.67805, -13.4713,  97.89426,  10.00,  203.65184
41, 2406, -11.79737, -98.97701, -184.2998,  204.2998, -11.79737,  98.97701,  10.00,  204.2998, -11.89711,  98.69561,  10.00,  204.27284
42, 2405, -13.37119, -98.17531, -183.67805,  203.67805, -13.37119,  98.17531,  10.00,  203.67805, -13.4713,  97.89426,  10.00,  203.65184
43, 2407, -12.17584, -97.35462, -184.5871,  204.5871, -12.17584,  97.35462,  10.00,  204.5871, -12.2754,  97.07346,  10.00,  204.56049
44, 2406, -11.79737, -98.97701, -184.2998,  204.2998, -11.79737,  98.97701,  10.00,  204.2998, -11.89711,  98.69561,  10.00,  204.27284
45, 2406, -11.79737, -98.97701, -184.2998,  204.2998, -11.79737,  98.97701,  10.00,  204.2998, -11.89711,  98.69561,  10.00,  204.27284
46, 2407, -12.17584, -97.35462, -184.5871,  204.5871, -12.17584,  97.35462,  10.00,  204.5871, -12.2754,  97.07346,  10.00,  204.56049
47, 2408, -11.80397, -98.067, -184.89375,  204.89375, -11.80397,  98.067,  10.00,  204.89375, -11.90329,  97.78625,  10.00,  204.86717
48, 2409, -11.92418, -96.86061, -184.89969,  204.89969, -11.92418,  96.86061,  10.00,  204.89969, -12.02355,  96.57969,  10.00,  204.87317
49, 2408, -11.80397, -98.067, -184.89375,  204.89375, -11.80397,  98.067,  10.00,  204.89375, -11.90329,  97.78625,  10.00,  204.86717
50, 2407, -12.17584, -97.35462, -184.5871,  204.5871, -12.17584,  97.35462,  10.00,  204.5871, -12.2754,  97.07346,  10.00,  204.56049
51, 2409, -11.92418, -96.86061, -184.89969,  204.89969, -11.92418,  96.86061,  10.00,  204.89969, -12.02355,  96.57969,  10.00,  204.87317
52, 2410, -11.73347, -97.21032, -185.06277,  205.06277, -11.73347,  97.21032,  10.00,  205.06277, -11.83273,  96.92945,  10.00,  205.03621
53, 2408, -11.80397, -98.067, -184.89375,  204.89375, -11.80397,  98.067,  10.00,  204.89375, -11.90329,  97.78625,  10.00,  204.86717
54, 2409, -11.92418, -96.86061, -184.89969,  204.89969, -11.92418,  96.86061,  10.00,  204.89969, -12.02355,  96.57969,  10.00,  204.87317
55, 2411, -11.64001, -96.18887, -185.31096,  205.31096, -11.64001,  96.18887,  10.00,  205.31096, -11.73918,  95.908,  10.00,  205.28436
56, 2410, -11.73347, -97.21032, -185.06277,  205.06277, -11.73347,  97.21032,  10.00,  205.06277, -11.83273,  96.92945,  10.00,  205.03621
57, 2411, -11.64001, -96.18887, -185.31096,  205.31096, -11.64001,  96.18887,  10.00,  205.31096, -11.73918,  95.908,  10.00,  205.28436
58, 2412, -11.74824, -97.44096, -185.23059,  205.23059, -11.74824,  97.44096,  10.00,  205.23059, -11.84737,  97.1602,  10.00,  205.20401
59, 2410, -11.73347, -97.21032, -185.06277,  205.06277, -11.73347,  97.21032,  10.00,  205.06277, -11.83273,  96.92945,  10.00,  205.03621
60, 2408, -11.80397, -98.067, -184.89375,  204.89375, -11.80397,  98.067,  10.00,  204.89375, -11.90329,  97.78625,  10.00,  204.86717
61, 2410, -11.73347, -97.21032, -185.06277,  205.06277, -11.73347,  97.21032,  10.00,  205.06277, -11.83273,  96.92945,  10.00,  205.03621
62, 2412, -11.74824, -97.44096, -185.23059,  205.23059, -11.74824,  97.44096,  10.00,  205.23059, -11.84737,  97.1602,  10.00,  205.20401
63, 2408, -11.80397, -98.067, -184.89375,  204.89375, -11.80397,  98.067,  10.00,  204.89375, -11.90329,  97.78625,  10.00,  204.86717
64, 2412, -11.74824, -97.44096, -185.23059,  205.23059, -11.74824,  97.44096,  10.00,  205.23059, -11.84737,  97.1602,  10.00,  205.20401
65, 2413, -11.5206, -98.70522, -185.29288,  205.29288, -11.5206,  98.70522,  10.00,  205.29288, -11.61961,  98.42452,  10.00,  205.26622
66, 2414, -30.84178, -55.18391, -194.49794,  214.49794, -30.84178,  55.18391,  10.00,  214.49794, -30.97398,  54.88231,  10.00,  214.39909
