VTX, IDX, _sig62._child0.x, _sig62._child0.y, _sig62._child0.z, _sig62._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
0, 24666,  2.39838, -98.8709, -178.13774,  198.13774,  2.39838,  98.8709,  10.00,  198.13774,  2.29308,  98.58566,  10.00,  198.10759
1, 24667,  1.43131, -98.03713, -178.12625,  198.12625,  1.43131,  98.03713,  10.00,  198.12625,  1.32596,  97.75204,  10.00,  198.09645
2, 24668,  1.4679, -97.01874, -178.25842,  198.25842,  1.4679,  97.01874,  10.00,  198.25842,  1.36261,  96.73367,  10.00,  198.22876
3, 24666,  2.39838, -98.8709, -178.13774,  198.13774,  2.39838,  98.8709,  10.00,  198.13774,  2.29308,  98.58566,  10.00,  198.10759
4, 24668,  1.4679, -97.01874, -178.25842,  198.25842,  1.4679,  97.01874,  10.00,  198.25842,  1.36261,  96.73367,  10.00,  198.22876
5, 24669,  2.38611, -97.63617, -178.28903,  198.28903,  2.38611,  97.63617,  10.00,  198.28903,  2.28088,  97.35101,  10.00,  198.25903
6, 24669,  2.38611, -97.63617, -178.28903,  198.28903,  2.38611,  97.63617,  10.00,  198.28903,  2.28088,  97.35101,  10.00,  198.25903
7, 24668,  1.4679, -97.01874, -178.25842,  198.25842,  1.4679,  97.01874,  10.00,  198.25842,  1.36261,  96.73367,  10.00,  198.22876
8, 24670,  1.51399, -95.69897, -178.47144,  198.47144,  1.51399,  95.69897,  10.00,  198.47144,  1.40883,  95.41401,  10.00,  198.44193
9, 24671,  2.87657, -99.17949, -178.15318,  198.15318,  2.87657,  99.17949,  10.00,  198.15318,  2.77131,  98.89418,  10.00,  198.12285
10, 24666,  2.39838, -98.8709, -178.13774,  198.13774,  2.39838,  98.8709,  10.00,  198.13774,  2.29308,  98.58566,  10.00,  198.10759
11, 24669,  2.38611, -97.63617, -178.28903,  198.28903,  2.38611,  97.63617,  10.00,  198.28903,  2.28088,  97.35101,  10.00,  198.25903
12, 24669,  2.38611, -97.63617, -178.28903,  198.28903,  2.38611,  97.63617,  10.00,  198.28903,  2.28088,  97.35101,  10.00,  198.25903
13, 24670,  1.51399, -95.69897, -178.47144,  198.47144,  1.51399,  95.69897,  10.00,  198.47144,  1.40883,  95.41401,  10.00,  198.44193
14, 24672,  2.38102, -96.16606, -178.51607,  198.51607,  2.38102,  96.16606,  10.00,  198.51607,  2.27593,  95.88094,  10.00,  198.48624
15, 24671,  2.87657, -99.17949, -178.15318,  198.15318,  2.87657,  99.17949,  10.00,  198.15318,  2.77131,  98.89418,  10.00,  198.12285
16, 24669,  2.38611, -97.63617, -178.28903,  198.28903,  2.38611,  97.63617,  10.00,  198.28903,  2.28088,  97.35101,  10.00,  198.25903
17, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
18, 24672,  2.38102, -96.16606, -178.51607,  198.51607,  2.38102,  96.16606,  10.00,  198.51607,  2.27593,  95.88094,  10.00,  198.48624
19, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
20, 24669,  2.38611, -97.63617, -178.28903,  198.28903,  2.38611,  97.63617,  10.00,  198.28903,  2.28088,  97.35101,  10.00,  198.25903
21, 24672,  2.38102, -96.16606, -178.51607,  198.51607,  2.38102,  96.16606,  10.00,  198.51607,  2.27593,  95.88094,  10.00,  198.48624
22, 24674,  2.87184, -96.38989, -178.53282,  198.53282,  2.87184,  96.38989,  10.00,  198.53282,  2.76677,  96.10475,  10.00,  198.50284
23, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
24, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
25, 24675,  3.4872, -99.48959, -178.18082,  198.18082,  3.4872,  99.48959,  10.00,  198.18082,  3.38198,  99.20417,  10.00,  198.15028
26, 24671,  2.87657, -99.17949, -178.15318,  198.15318,  2.87657,  99.17949,  10.00,  198.15318,  2.77131,  98.89418,  10.00,  198.12285
27, 24676,  3.41775, -96.58484, -178.54927,  198.54927,  3.41775,  96.58484,  10.00,  198.54927,  3.3127,  96.29961,  10.00,  198.51909
28, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
29, 24674,  2.87184, -96.38989, -178.53282,  198.53282,  2.87184,  96.38989,  10.00,  198.53282,  2.76677,  96.10475,  10.00,  198.50284
30, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
31, 24677,  3.44935, -98.13004, -178.33356,  198.33356,  3.44935,  98.13004,  10.00,  198.33356,  3.3442,  97.8447,  10.00,  198.30319
32, 24675,  3.4872, -99.48959, -178.18082,  198.18082,  3.4872,  99.48959,  10.00,  198.18082,  3.38198,  99.20417,  10.00,  198.15028
33, 24676,  3.41775, -96.58484, -178.54927,  198.54927,  3.41775,  96.58484,  10.00,  198.54927,  3.3127,  96.29961,  10.00,  198.51909
34, 24677,  3.44935, -98.13004, -178.33356,  198.33356,  3.44935,  98.13004,  10.00,  198.33356,  3.3442,  97.8447,  10.00,  198.30319
35, 24673,  2.87439, -97.88943, -178.30838,  198.30838,  2.87439,  97.88943,  10.00,  198.30838,  2.76919,  97.60413,  10.00,  198.27821
36, 24675,  3.4872, -99.48959, -178.18082,  198.18082,  3.4872,  99.48959,  10.00,  198.18082,  3.38198,  99.20417,  10.00,  198.15028
37, 24677,  3.44935, -98.13004, -178.33356,  198.33356,  3.44935,  98.13004,  10.00,  198.33356,  3.3442,  97.8447,  10.00,  198.30319
38, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
39, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
40, 24677,  3.44935, -98.13004, -178.33356,  198.33356,  3.44935,  98.13004,  10.00,  198.33356,  3.3442,  97.8447,  10.00,  198.30319
41, 24676,  3.41775, -96.58484, -178.54927,  198.54927,  3.41775,  96.58484,  10.00,  198.54927,  3.3127,  96.29961,  10.00,  198.51909
42, 24675,  3.4872, -99.48959, -178.18082,  198.18082,  3.4872,  99.48959,  10.00,  198.18082,  3.38198,  99.20417,  10.00,  198.15028
43, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
44, 24679,  4.49429, -99.80061, -178.26631,  198.26631,  4.49429,  99.80061,  10.00,  198.26631,  4.38915,  99.51507,  10.00,  198.23544
45, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
46, 24676,  3.41775, -96.58484, -178.54927,  198.54927,  3.41775,  96.58484,  10.00,  198.54927,  3.3127,  96.29961,  10.00,  198.51909
47, 24680,  4.37263, -96.94569, -178.60468,  198.60468,  4.37263,  96.94569,  10.00,  198.60468,  4.26766,  96.66029,  10.00,  198.5742
48, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
49, 24681,  5.46972, -99.92022, -178.40581,  198.40581,  5.46972,  99.92022,  10.00,  198.40581,  5.36472,  99.63457,  10.00,  198.37463
50, 24679,  4.49429, -99.80061, -178.26631,  198.26631,  4.49429,  99.80061,  10.00,  198.26631,  4.38915,  99.51507,  10.00,  198.23544
51, 24680,  4.37263, -96.94569, -178.60468,  198.60468,  4.37263,  96.94569,  10.00,  198.60468,  4.26766,  96.66029,  10.00,  198.5742
52, 24682,  5.39917, -98.55032, -178.53551,  198.53551,  5.39917,  98.55032,  10.00,  198.53551,  5.29422,  98.26473,  10.00,  198.50453
53, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
54, 24678,  4.43701, -98.39962, -178.41095,  198.41095,  4.43701,  98.39962,  10.00,  198.41095,  4.33193,  98.11413,  10.00,  198.38029
55, 24682,  5.39917, -98.55032, -178.53551,  198.53551,  5.39917,  98.55032,  10.00,  198.53551,  5.29422,  98.26473,  10.00,  198.50453
56, 24681,  5.46972, -99.92022, -178.40581,  198.40581,  5.46972,  99.92022,  10.00,  198.40581,  5.36472,  99.63457,  10.00,  198.37463
57, 24680,  4.37263, -96.94569, -178.60468,  198.60468,  4.37263,  96.94569,  10.00,  198.60468,  4.26766,  96.66029,  10.00,  198.5742
58, 24683,  5.31667, -97.12362, -178.71323,  198.71323,  5.31667,  97.12362,  10.00,  198.71323,  5.2118,  96.83814,  10.00,  198.68246
59, 24682,  5.39917, -98.55032, -178.53551,  198.53551,  5.39917,  98.55032,  10.00,  198.53551,  5.29422,  98.26473,  10.00,  198.50453
60, 24682,  5.39917, -98.55032, -178.53551,  198.53551,  5.39917,  98.55032,  10.00,  198.53551,  5.29422,  98.26473,  10.00,  198.50453
61, 24684,  6.39803, -99.99426, -178.57333,  198.57333,  6.39803,  99.99426,  10.00,  198.57333,  6.29319,  99.70853,  10.00,  198.54192
62, 24681,  5.46972, -99.92022, -178.40581,  198.40581,  5.46972,  99.92022,  10.00,  198.40581,  5.36472,  99.63457,  10.00,  198.37463
63, 24683,  5.31667, -97.12362, -178.71323,  198.71323,  5.31667,  97.12362,  10.00,  198.71323,  5.2118,  96.83814,  10.00,  198.68246
64, 24685,  6.30713, -98.65427, -178.70161,  198.70161,  6.30713,  98.65427,  10.00,  198.70161,  6.20233,  98.36859,  10.00,  198.67038
65, 24682,  5.39917, -98.55032, -178.53551,  198.53551,  5.39917,  98.55032,  10.00,  198.53551,  5.29422,  98.26473,  10.00,  198.50453
66, 24682,  5.39917, -98.55032, -178.53551,  198.53551,  5.39917,  98.55032,  10.00,  198.53551,  5.29422,  98.26473,  10.00,  198.50453
67, 24685,  6.30713, -98.65427, -178.70161,  198.70161,  6.30713,  98.65427,  10.00,  198.70161,  6.20233,  98.36859,  10.00,  198.67038
